port_name,year,predicted_value,rank
Calais,2032,-502761,115.0
Calais,2033,-658162,114.0
Calais,2034,-813562,114.0
Calais,2035,-968963,114.0
Calexico,2026,8290192,11.0
Calexico,2027,7510222,13.0
Calexico,2028,6730251,14.0
Calexico,2029,5950280,14.0
Calexico,2030,5170309,14.0
Calexico,2031,4390339,14.0
Calexico,2032,3610368,15.0
Calexico,2033,2830397,16.0
Calexico,2034,2050426,19.0
Calexico,2035,1270456,22.0
Calexico East,2026,8919325,8.0
Calexico East,2027,8903080,7.0
Calexico East,2028,8886834,6.0
Calexico East,2029,8870589,6.0
Calexico East,2030,8854344,5.0
Calexico East,2031,8838099,5.0
Calexico East,2032,8821853,4.0
Calexico East,2033,8805608,4.0
Calexico East,2034,8789363,4.0
Calexico East,2035,8773117,4.0
Cape Vincent,2026,5075,103.0
Cape Vincent,2027,3550,100.0
Cape Vincent,2028,2024,99.0
Cape Vincent,2029,498,98.0
Cape Vincent,2030,-1027,99.0
Cape Vincent,2031,-2552,98.0
Cape Vincent,2032,-4078,96.0
Cape Vincent,2033,-5604,95.0
Cape Vincent,2034,-7129,95.0
Cape Vincent,2035,-8655,95.0
Carbury,2026,22315,86.0
Carbury,2027,21453,85.0
Carbury,2028,20592,82.0
Carbury,2029,19731,80.0
Carbury,2030,18870,80.0
Carbury,2031,18008,78.0
Carbury,2032,17147,77.0
Carbury,2033,16286,76.0
Carbury,2034,15424,76.0
Carbury,2035,14563,73.0
Champlain Rouses Point,2026,2763390,20.0
Champlain Rouses Point,2027,2665191,20.0
Champlain Rouses Point,2028,2566992,21.0
Champlain Rouses Point,2029,2468793,20.0
Champlain Rouses Point,2030,2370594,20.0
Champlain Rouses Point,2031,2272395,20.0
Champlain Rouses Point,2032,2174197,21.0
Champlain Rouses Point,2033,2075998,21.0
Champlain Rouses Point,2034,1977799,21.0
Champlain Rouses Point,2035,1879600,17.0
Columbus,2026,1189084,33.0
Columbus,2027,1176619,33.0
Columbus,2028,1164155,31.0
Columbus,2029,1151690,30.0
Columbus,2030,1139226,29.0
Columbus,2031,1126761,27.0
Columbus,2032,1114297,27.0
Columbus,2033,1101832,26.0
Columbus,2034,1089368,26.0
Columbus,2035,1076903,26.0
Cross Border Xpress,2026,1816122,23.0
Cross Border Xpress,2027,1901337,23.0
Cross Border Xpress,2028,1986553,23.0
Cross Border Xpress,2029,2071769,23.0
Cross Border Xpress,2030,2156984,22.0
Cross Border Xpress,2031,2242200,21.0
Cross Border Xpress,2032,2327416,19.0
Cross Border Xpress,2033,2412631,17.0
Cross Border Xpress,2034,2497847,15.0
Cross Border Xpress,2035,2583063,13.0
Dalton Cache,2026,33795,82.0
Dalton Cache,2027,32472,81.0
Dalton Cache,2028,31149,77.0
Dalton Cache,2029,29826,75.0
Dalton Cache,2030,28502,74.0
Dalton Cache,2031,27179,73.0
Dalton Cache,2032,25856,72.0
Dalton Cache,2033,24533,70.0
Dalton Cache,2034,23210,70.0
Dalton Cache,2035,21886,68.0
Danville,2026,11760,93.0
Danville,2027,3919,99.0
Danville,2028,-3920,107.0
Danville,2029,-11761,105.0
Danville,2030,-19601,104.0
Danville,2031,-27442,105.0
Danville,2032,-35282,103.0
Danville,2033,-43123,102.0
Danville,2034,-50963,102.0
Danville,2035,-58804,102.0
Del Bonita,2026,44583,78.0
Del Bonita,2027,43203,76.0
Del Bonita,2028,41823,73.0
Del Bonita,2029,40443,72.0
Del Bonita,2030,39063,72.0
Del Bonita,2031,37683,71.0
Del Bonita,2032,36303,70.0
Del Bonita,2033,34922,67.0
Del Bonita,2034,33542,65.0
Del Bonita,2035,32162,63.0
Del Rio,2026,2901568,19.0
Del Rio,2027,2745667,19.0
Del Rio,2028,2589766,20.0
Del Rio,2029,2433865,21.0
Del Rio,2030,2277964,21.0
Del Rio,2031,2122064,22.0
Del Rio,2032,1966163,22.0
Del Rio,2033,1810262,22.0
Del Rio,2034,1654361,22.0
Del Rio,2035,1498460,21.0
Derby Line,2026,900523,36.0
Derby Line,2027,834645,36.0
Derby Line,2028,768767,37.0
Derby Line,2029,702889,37.0
Derby Line,2030,637011,38.0
Derby Line,2031,571133,37.0
Derby Line,2032,505255,39.0
Derby Line,2033,439377,40.0
Derby Line,2034,373499,40.0
Derby Line,2035,307621,42.0
Detroit,2026,4786955,15.0
Detroit,2027,3925470,15.0
Detroit,2028,3063986,18.0
Detroit,2029,2202501,22.0
Detroit,2030,1341016,24.0
Detroit,2031,479532,41.0
Detroit,2032,-381952,114.0
Detroit,2033,-1243436,116.0
Detroit,2034,-2104921,116.0
Detroit,2035,-2966405,116.0
Douglas,2026,3456231,18.0
Douglas,2027,3274362,18.0
Douglas,2028,3092493,17.0
Douglas,2029,2910624,17.0
Douglas,2030,2728756,18.0
Douglas,2031,2546887,18.0
Douglas,2032,2365018,18.0
Douglas,2033,2183149,20.0
Douglas,2034,2001280,20.0
Douglas,2035,1819411,19.0
Dunseith,2026,158340,57.0
Dunseith,2027,153319,55.0
Dunseith,2028,148298,54.0
Dunseith,2029,143277,54.0
Dunseith,2030,138256,54.0
Dunseith,2031,133235,52.0
Dunseith,2032,128214,50.0
Dunseith,2033,123193,51.0
Dunseith,2034,118172,50.0
Dunseith,2035,113151,49.0
Eagle Pass,2026,7641878,14.0
Eagle Pass,2027,7470032,14.0
Eagle Pass,2028,7298185,12.0
Eagle Pass,2029,7126338,11.0
Eagle Pass,2030,6954491,11.0
Eagle Pass,2031,6782645,10.0
Eagle Pass,2032,6610798,10.0
Eagle Pass,2033,6438951,9.0
Eagle Pass,2034,6267104,9.0
Eagle Pass,2035,6095258,9.0
Eastport,2026,822090,38.0
Eastport,2027,826974,37.0
Eastport,2028,831859,36.0
Eastport,2029,836744,36.0
Eastport,2030,841628,35.0
Eastport,2031,846513,32.0
Eastport,2032,851398,32.0
Eastport,2033,856282,32.0
Eastport,2034,861167,31.0
Eastport,2035,866051,30.0
El Paso,2026,17471056,3.0
El Paso,2027,15801196,4.0
El Paso,2028,14131336,4.0
El Paso,2029,12461476,4.0
El Paso,2030,10791616,4.0
El Paso,2031,9121756,4.0
El Paso,2032,7451895,7.0
El Paso,2033,5782035,10.0
El Paso,2034,4112175,11.0
El Paso,2035,2442315,14.0
Ferry,2026,16441,91.0
Ferry,2027,15564,89.0
Ferry,2028,14687,88.0
Ferry,2029,13810,84.0
Ferry,2030,12934,84.0
Ferry,2031,12057,84.0
Ferry,2032,11180,81.0
Ferry,2033,10303,80.0
Ferry,2034,9427,80.0
Ferry,2035,8550,79.0
Fort Fairfield,2026,67506,70.0
Fort Fairfield,2027,44139,75.0
Fort Fairfield,2028,20772,81.0
Fort Fairfield,2029,-2594,100.0
Fort Fairfield,2030,-25961,106.0
Fort Fairfield,2031,-49328,109.0
Fort Fairfield,2032,-72695,107.0
Fort Fairfield,2033,-96062,108.0
Fort Fairfield,2034,-119429,107.0
Fort Fairfield,2035,-142796,107.0
Fort Kent,2026,-14869,113.0
Fort Kent,2027,-51745,115.0
Fort Kent,2028,-88621,114.0
Fort Kent,2029,-125498,114.0
Fort Kent,2030,-162374,113.0
Fort Kent,2031,-199250,112.0
Fort Kent,2032,-236127,111.0
Fort Kent,2033,-273003,110.0
Fort Kent,2034,-309879,110.0
Fort Kent,2035,-346756,110.0
Fortuna,2026,23975,85.0
Fortuna,2027,23025,83.0
Fortuna,2028,22074,80.0
Fortuna,2029,21124,79.0
Fortuna,2030,20174,79.0
Fortuna,2031,19223,77.0
Fortuna,2032,18273,75.0
Fortuna,2033,17322,74.0
Fortuna,2034,16372,75.0
Fortuna,2035,15422,72.0
Friday Harbor,2026,5423,102.0
Friday Harbor,2027,5019,97.0
Friday Harbor,2028,4616,96.0
Friday Harbor,2029,4212,92.0
Friday Harbor,2030,3808,91.0
Friday Harbor,2031,3404,91.0
Friday Harbor,2032,3001,89.0
Friday Harbor,2033,2597,88.0
Friday Harbor,2034,2193,87.0
Friday Harbor,2035,1790,87.0
Frontier,2026,129138,61.0
Frontier,2027,127284,59.0
Frontier,2028,125430,56.0
Frontier,2029,123576,55.0
Frontier,2030,121722,55.0
Frontier,2031,119868,55.0
Frontier,2032,118014,52.0
Frontier,2033,116159,53.0
Frontier,2034,114305,52.0
Frontier,2035,112451,50.0
Grand Portage,2026,362083,48.0
Grand Portage,2027,338735,48.0
Grand Portage,2028,315387,48.0
Grand Portage,2029,292039,49.0
Grand Portage,2030,268691,47.0
Grand Portage,2031,245343,46.0
Grand Portage,2032,221995,45.0
Grand Portage,2033,198647,45.0
Grand Portage,2034,175299,44.0
Grand Portage,2035,151951,44.0
Hannah,2026,-4768,111.0
Hannah,2027,-5701,109.0
Hannah,2028,-6633,109.0
Hannah,2029,-7566,104.0
Hannah,2030,-8499,103.0
Hannah,2031,-9432,103.0
Hannah,2032,-10364,99.0
Hannah,2033,-11297,98.0
Hannah,2034,-12230,97.0
Hannah,2035,-13163,97.0
Hansboro,2026,6118,101.0
Hansboro,2027,4621,98.0
Hansboro,2028,3124,97.0
Hansboro,2029,1628,94.0
Hansboro,2030,131,97.0
Hansboro,2031,-1365,96.0
Hansboro,2032,-2861,95.0
Hansboro,2033,-4358,94.0
Hansboro,2034,-5855,94.0
Hansboro,2035,-7351,93.0
Hidalgo,2026,8843303,9.0
Hidalgo,2027,7998362,10.0
Hidalgo,2028,7153420,13.0
Hidalgo,2029,6308479,13.0
Hidalgo,2030,5463537,13.0
Hidalgo,2031,4618595,13.0
Hidalgo,2032,3773654,13.0
Hidalgo,2033,2928712,15.0
Hidalgo,2034,2083771,18.0
Hidalgo,2035,1238829,23.0
Highgate Springs,2026,1353449,27.0
Highgate Springs,2027,1335157,27.0
Highgate Springs,2028,1316864,26.0
Highgate Springs,2029,1298572,26.0
Highgate Springs,2030,1280280,25.0
Highgate Springs,2031,1261987,24.0
Highgate Springs,2032,1243695,24.0
Highgate Springs,2033,1225402,24.0
Highgate Springs,2034,1207110,25.0
Highgate Springs,2035,1188817,25.0
Houlton,2026,436880,45.0
Houlton,2027,396837,45.0
Houlton,2028,356793,45.0
Houlton,2029,316749,46.0
Houlton,2030,276706,46.0
Houlton,2031,236662,48.0
Houlton,2032,196619,47.0
Houlton,2033,156575,47.0
Houlton,2034,116531,51.0
Houlton,2035,76488,53.0
International Falls,2026,1262410,31.0
International Falls,2027,1230627,30.0
International Falls,2028,1198845,30.0
International Falls,2029,1167062,29.0
International Falls,2030,1135279,30.0
International Falls,2031,1103496,29.0
International Falls,2032,1071713,28.0
International Falls,2033,1039930,28.0
International Falls,2034,1008148,28.0
International Falls,2035,976365,27.0
Jackman,2026,370681,47.0
